GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,,,,,,health=,No_health_insurance-Data_value
Id,Id2,Geography,Estimate; Total:,Estimate; Income in the past 12 months below poverty level:,poverty,,,,,poverty=,Estimate; Income in the past 12 months below poverty level:
0400000US01,1,Alabama,4727549,910175,19.25257676,,,,,,
0400000US02,2,Alaska,717723,80627,11.23372109,,,,,,
0400000US04,4,Arizona,6573369,1199061,18.24119413,,,,,,
0400000US05,5,Arkansas,2882856,543882,18.8660828,,,,,,
0400000US06,6,California,38060228,6259098,16.44524568,,,,,,
0400000US08,8,Colorado,5237149,630786,12.04445396,,,,,,
0400000US09,9,Connecticut,3485629,374772,10.75191881,,,,,,
0400000US10,10,Delaware,909611,113508,12.47874091,,,,,,
0400000US11,11,District of Columbia,624327,110666,17.72564698,,,,,,
0400000US12,12,Florida,19470210,3211615,16.49501983,,,,,,
0400000US13,13,Georgia,9823859,1797969,18.30206439,,,,,,
0400000US15,15,Hawaii,1379804,156729,11.35878719,,,,,,
0400000US16,16,Idaho,1603083,237981,14.84520764,,,,,,
0400000US17,17,Illinois,12571848,1804535,14.35377679,,,,,,
0400000US18,18,Indiana,6391460,974218,15.24249545,,,,,,
0400000US19,19,Iowa,3004857,367816,12.24071561,,,,,,
0400000US20,20,Kansas,2821431,382712,13.56446427,,,,,,
0400000US21,21,Kentucky,4275359,817542,19.12218366,,,,,,
0400000US22,22,Louisiana,4518525,896524,19.84107646,,,,,,
0400000US23,23,Maine,1294009,182791,14.12594503,,,,,,
0400000US24,24,Maryland,5835377,589818,10.10762458,,,,,,
0400000US25,25,Massachusetts,6509672,757235,11.63246013,,,,,,
0400000US26,26,Michigan,9686787,1568844,16.19571071,,,,,,
0400000US27,27,Minnesota,5332552,611354,11.46456706,,,,,,
0400000US28,28,Mississippi,2895470,623113,21.52027132,,,,,,
0400000US29,29,Missouri,5878658,908628,15.45638477,,,,,,
0400000US30,30,Montana,997952,153954,15.42699448,,,,,,
0400000US31,31,Nebraska,1828121,227310,12.43407849,,,,,,
0400000US32,32,Nevada,2800768,426730,15.23617808,,,,,,
0400000US33,33,New Hampshire,1287504,117983,9.163699686,,,,,,
0400000US34,34,New Jersey,8762159,972903,11.10346206,,,,,,
0400000US35,35,New Mexico,2045525,436153,21.32230112,,,,,,
0400000US36,36,New York,19228524,3062938,15.92913736,,,,,,
0400000US37,37,North Carolina,9691794,1668686,17.21751412,,,,,,
0400000US38,38,North Dakota,712548,82264,11.54504679,,,,,,
0400000US39,39,Ohio,11276403,1785780,15.83643295,,,,,,
0400000US40,40,Oklahoma,3759517,623840,16.59362094,,,,,,
0400000US41,41,Oregon,3893475,644450,16.55205183,,,,,,
0400000US42,42,Pennsylvania,12371337,1682212,13.59765723,,,,,,
0400000US44,44,Rhode Island,1015655,145596,14.33518271,,,,,,
0400000US45,45,South Carolina,4691589,843860,17.98665655,,,,,,
0400000US46,46,South Dakota,824373,116843,14.17355978,,,,,,
0400000US47,47,Tennessee,6386663,1171307,18.33989049,,,,,,
0400000US48,48,Texas,26340247,4523708,17.174129,,,,,,
0400000US49,49,Utah,2897762,339900,11.72974178,,,,,,
0400000US50,50,Vermont,601819,73149,12.15465115,,,,,,
0400000US51,51,Virginia,8080300,953395,11.79900499,,,,,,
0400000US53,53,Washington,6927889,913619,13.18755251,,,,,,
0400000US54,54,West Virginia,1792949,327764,18.28072076,,,,,,
0400000US55,55,Wisconsin,5603486,738270,13.1751913,,,,,,
0400000US56,56,Wyoming,570149,63774,11.18549712,,,,,,
0400000US72,72,Puerto Rico,3515261,1624453,46.21144774,,,,,,
